0.24 0.24 5 0.04
-240.0	-240.0	0.0	-0.794110327611286	-1.84177962245632	-2.40527277635174E-08
-240.0	-240.0	40.0	-0.794111057068567	-1.84177910485358	-0.000208054914871
-240.0	-240.0	80.0	-0.794113249877912	-1.84177754802792	-0.000416389102262
-240.0	-240.0	120.0	-0.794116912914997	-1.84177494742535	-0.000625330775404
-240.0	-240.0	160.0	-0.794122057682112	-1.841771295429	-0.000835185911009
-240.0	-240.0	200.0	-0.794128700369448	-1.84176658132233	-0.001046263221318
-240.0	-240.0	240.0	-0.794136861941574	-1.84176079123708	-0.00125887508714
-240.0	-240.0	280.0	-0.794146568249845	-1.84175390808593	-0.001473338509387
-240.0	-240.0	320.0	-0.794157850171613	-1.84174591147906	-0.001689976083968
-240.0	-240.0	360.0	-0.794170743777413	-1.84173677762422	-0.001909117005095
-240.0	-240.0	400.0	-0.794185290527475	-1.8417264792095	-0.002131098102294
-240.0	-240.0	440.0	-0.794201537499206	-1.84171498526802	-0.002356264916632
-240.0	-240.0	480.0	-0.794219537647535	-1.84170226102344	-0.00258497282202
-240.0	-240.0	520.0	-0.79423935010032	-1.84168826771529	-0.002817588197754
-240.0	-240.0	560.0	-0.794261040491327	-1.84167296240279	-0.003054489658919
-240.0	-240.0	600.0	-0.794284681333663	-1.84165629774557	-0.003296069351674
-240.0	-240.0	640.0	-0.794310352436904	-1.84163822175991	-0.003542734321019
-240.0	-240.0	680.0	-0.794338141371601	-1.84161867754837	-0.003794907959191
-240.0	-240.0	720.0	-0.794368143985334	-1.84159760300093	-0.004053031543518
-240.0	-240.0	760.0	-0.794400464974975	-1.84157493046523	-0.004317565873307
-240.0	-240.0	800.0	-0.794435218520442	-1.84155058638338	-0.004588993016165
-240.0	-240.0	840.0	-0.794472528985868	-1.84152449089246	-0.004867818175101
-240.0	-240.0	880.0	-0.79451253169484	-1.84149655738549	-0.005154571688796
-240.0	-240.0	920.0	-0.794555373787201	-1.84146669202927	-0.005449811178621
-240.0	-240.0	960.0	-0.794601215165834	-1.84143479323531	-0.005754123857265
-240.0	-240.0	1000.0	-0.794650229542892	-1.84140075107917	-0.006068129015343
-240.0	-240.0	1040.0	-0.794702605596132	-1.84136444666364	-0.00639248070398
-240.0	-240.0	1080.0	-0.794758548247346	-1.84132575142002	-0.006727870633211
-240.0	-240.0	1120.0	-0.794818280076407	-1.8412845263417	-0.007075031308125
-240.0	-240.0	1160.0	-0.794882042886174	-1.84124062114317	-0.007434739426991
-240.0	-240.0	1200.0	-0.794950099435477	-1.84119387333706	-0.007807819568207
-240.0	-240.0	1240.0	-0.795022735359612	-1.84114410722083	-0.008195148195849
-240.0	-240.0	1280.0	-0.795100261300364	-1.84109113276389	-0.008597658016902
-240.0	-240.0	1320.0	-0.795183015270473	-1.84103474438477	-0.009016342726947
-240.0	-240.0	1360.0	-0.795271365280815	-1.84097471960694	-0.009452262185269
-240.0	-240.0	1400.0	-0.795365712262371	-1.84091081758023	-0.009906548065093
-240.0	-240.0	1440.0	-0.795466493319494	-1.84084277745378	-0.010380410029964
-240.0	-240.0	1480.0	-0.795574185356008	-1.84077031658434	-0.010875142493345
-240.0	-240.0	1520.0	-0.795689309121507	-1.84069312856204	-0.011392132025369
-240.0	-240.0	1560.0	-0.795812433731961	-1.84061088103384	-0.011932865478425
-240.0	-240.0	1600.0	-0.795944181726465	-1.84052321330198	-0.012498938912115
-240.0	-240.0	1640.0	-0.796085234730999	-1.84042973367265	-0.013092067408201
-240.0	-240.0	1680.0	-0.796236339810483	-1.84033001652676	-0.013714095877599
-240.0	-240.0	1720.0	-0.796398316602496	-1.84022359908126	-0.014367010974648
-240.0	-240.0	1760.0	-0.79657206534018	-1.84010997780585	-0.015052954248867
-240.0	-240.0	1800.0	-0.796758575888241	-1.83998860445536	-0.015774236681689
-240.0	-240.0	1840.0	-0.796958937935176	-1.83985888167346	-0.016533354775423
-240.0	-240.0	1880.0	-0.797174352507308	-1.83972015811734	-0.017333008384598
-240.0	-240.0	1920.0	-0.797406144996541	-1.83957172304741	-0.018176120506144
-240.0	-240.0	1960.0	-0.797655779924636	-1.8394128003183	-0.019065859275447
-240.0	-240.0	2000.0	-0.797924877703213	-1.83924254169973	-0.020005662450719
-240.0	-240.0	2040.0	-0.798215233691474	-1.83906001944669	-0.020999264709413
-240.0	-240.0	2080.0	-0.798528839904273	-1.83886421802755	-0.022050728128569
-240.0	-240.0	2120.0	-0.798867909782928	-1.83865402490724	-0.023164476277426
-240.0	-240.0	2160.0	-0.799234906511997	-1.83842822026874	-0.02434533241701
-240.0	-240.0	2200.0	-0.799632575449264	-1.83818546554049	-0.02559856237973
-240.0	-240.0	2240.0	-0.800063981335894	-1.83792429057966	-0.026929922794883
-240.0	-240.0	2280.0	-0.800532551072357	-1.83764307934005	-0.028345715436575
-240.0	-240.0	2320.0	-0.801042122986835	-1.83734005382993	-0.029852848602985
-240.0	-240.0	2360.0	-0.801597003690875	-1.83701325613684	-0.031458906595413
-240.0	-240.0	2400.0	-0.802202033817175	-1.83666052826392	-0.033172228558896
-240.0	-240.0	2440.0	-0.802862664172557	-1.83627948948375	-0.035001998182281
-240.0	-240.0	2480.0	-0.803585044122384	-1.83586751087023	-0.036958346046409
-240.0	-240.0	2520.0	-0.804376124358624	-1.835421686614	-0.039052466770301
-240.0	-240.0	2560.0	-0.805243776600908	-1.83493880166101	-0.041296753558889
-240.0	-240.0	2600.0	-0.806196933246939	-1.83441529513263	-0.043704953331904
